TABLE_SCHEMA,TABLE_NAME,n_date_typed,n_money_typed,n_recovery_named,n_claim_named,n_cols,date_cols,money_cols
dbo,qryPPPIUNETKaiser_OCPSStage2,25,14,8,10,220,"mbr_cov_row_eff_dt, MBR_COV_ROW_END_DT, PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,qryNewbornMomKaiser_OCPSstage6,23,14,8,10,219,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,qryPPPIUNETKaiser_OCPSStage3,25,14,8,10,222,"mbr_cov_row_eff_dt, MBR_COV_ROW_END_DT, PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,qryNewbornKaiser_OCPSstage6,23,14,8,10,219,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,qryIVRAgeKaiser_OCPSFinalStage1,30,15,8,9,232,"ivrcalldt, ivrpartaeffdate, ivrpartaTermDate, ivrpartbeffdate, ivrpartbTermDate, RxWindowStartDate, RxWindowEndDate, PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","totOppAmt, BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,qryivresrdKaiser_OCPSFinalStage1,30,15,8,9,232,"ivrcalldt, ivrpartaeffdate, ivrpartaTermDate, ivrpartbeffdate, ivrpartbTermDate, RxWindowStartDate, RxWindowEndDate, PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","totOppAmt, BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,olympicdetKaiser_OCPS,30,15,8,9,233,"ivrcalldt, ivrpartaeffdate, ivrpartaTermDate, ivrpartbeffdate, ivrpartbTermDate, RxWindowStartDate, RxWindowEndDate, PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","totOppAmt, BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,olympicdetstage1Kaiser_OCPS,30,15,8,9,233,"ivrcalldt, ivrpartaeffdate, ivrpartaTermDate, ivrpartbeffdate, ivrpartbTermDate, RxWindowStartDate, RxWindowEndDate, PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","totOppAmt, BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,olympicdetKaiser_OCPSfinal,30,15,8,9,236,"ivrcalldt, ivrpartaeffdate, ivrpartaTermDate, ivrpartbeffdate, ivrpartbTermDate, RxWindowStartDate, RxWindowEndDate, PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","totOppAmt, BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
dbo,DomPartkaiser_ocpsstage4Final,23,14,8,9,215,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDOB, COB_InvoiceDate, COB_EffectiveDate, COB_TermDate, ReceivedDate, InputDate, PaymentDate, CheckDate, Hospital_AdmissionDate, Hospital_DischargeDate","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, REC_Amount, AllowedAmount, CopayAmount, CoInsAmount, DedAmount, COB_AllowedAmt, ReceivedDate, CheckNumber, CheckDate, CheckStatus1, CheckStatus2, CheckStatus3"
