d,n,applied
2026-05-20,589,43898.31
2026-05-21,477,177671.63
2026-05-22,408,274913.96
2026-05-25,8,1191.56
2026-05-26,559,786417.64
2026-05-27,931,632707.54
2026-05-28,685,-740989.36
2026-05-29,466,309717.31
2026-05-30,8,
2026-06-01,472,564729.12
2026-06-02,455,594207.74
2026-06-03,346,561679.7
2026-06-04,402,189083.66
2026-06-05,287,312280.05
2026-06-06,5,3890.91
2026-06-08,499,867994.79
2026-06-09,571,856631.69
2026-06-10,419,188417.7
2026-06-11,316,194109.09
2026-06-12,308,169868.94
2026-06-13,6,21704.65
2026-06-14,8,230.0
2026-06-15,482,548000.68
2026-06-16,336,166245.53
2026-06-17,442,630400.21
2026-06-18,290,181919.06
2026-06-19,1,
2026-06-20,4,
2026-06-22,391,434291.92
2026-06-23,423,734286.08
2026-06-24,404,283153.95
2026-06-25,518,489153.15
2026-06-26,406,-21622.03
2026-06-27,2,
2026-06-29,803,-71537.63
2026-06-30,696,1179390.48
2026-07-01,301,139756.29
2026-07-02,251,208832.32
2026-07-04,1,725.35
2026-07-06,479,894491.33
2026-07-07,542,1274011.52
2026-07-08,453,365322.26
2026-07-09,408,234139.87
2026-07-10,258,89071.25
2026-07-12,18,2767.08
2026-07-13,504,910051.72
2026-07-14,472,626217.5
2026-07-15,609,779851.13
2026-07-16,276,102211.25
2026-07-17,273,136438.59
2026-07-20,354,1152674.36
2026-07-21,565,776207.13
2026-07-22,785,411230.47
2026-07-23,485,205853.48
2026-07-24,463,330158.41
2026-07-26,7,
2026-07-27,537,1042029.57
2026-07-28,636,486639.75
2026-07-29,449,381618.44
2026-07-30,391,259405.71
2026-07-31,745,-190195.92
2026-08-02,38,
2026-08-03,355,645050.36
2026-08-04,455,328333.66
2026-08-05,338,347948.04
2026-08-06,258,124779.51
2026-08-07,583,192703.07
2026-08-08,3,769.07
2026-08-09,3,11245.0
2026-08-10,428,586623.13
2026-08-11,429,582347.42
2026-08-12,541,565856.27
2026-08-13,324,235821.42
2026-08-14,344,351522.98
2026-08-17,319,112041.71
2026-08-18,793,835199.4
2026-08-19,465,-140294.34
2026-08-20,438,255180.91
2026-08-21,583,330702.03
2026-08-22,12,0.0
2026-08-23,3,
2026-08-24,542,276257.55
2026-08-25,571,990139.27
2026-08-26,396,265867.89
2026-08-27,384,522622.78
2026-08-28,373,300859.25
2026-08-29,1,3866.06
2026-08-31,753,903661.79
2026-09-01,380,39185.9
2026-09-02,406,173343.25
2026-09-03,461,116425.05
2026-09-04,345,170932.8
2026-09-07,4,278.17
2026-09-08,333,166870.52
2026-09-09,471,694766.78
2026-09-10,388,291630.93
2026-09-11,241,99285.9
2026-09-13,3,492.53
2026-09-14,364,161394.07
2026-09-15,484,1071140.05
2026-09-16,339,318102.87
