ym,category,n_remits,applied
2026-08,COB Commercial,5006,4005573.81
2026-07,CAQH,2666,713606.19
2025-02,CAQH,2004,542265.06
2024-12,CAQH,1602,801364.37
2026-07,Medicare Age,1222,3127326.41
2025-06,Medicare Disability,720,1968307.02
2024-11,(no claim allocation),181,111527.4
2025-04,Medicare Age,1367,2696744.57
2026-03,Medicare Disability,801,1553040.93
2026-05,(uncategorised),2,7056.0
2026-01,(uncategorised),1,309.78
2024-08,Rx High Cost Drug,26,271484.85
2024-11,CAQH,1730,566753.47
2026-02,Medicare ESRD,270,554880.66
2026-08,Medicare Age,1028,2335497.98
2025-10,Rx High Cost Drug,30,56748.39
2026-01,Rx Duplicate,38,33705.61
2026-06,(uncategorised),1,
2026-04,Rx High Cost Drug,64,153442.95
2024-06,Medicare Age,1133,3191745.48
2026-04,Medicare,4,679.1
2024-06,CAQH,1731,466325.96
2026-03,Terminated Coverage,3,
2025-12,CAQH,2543,872492.79
2025-07,Medicare Disability,932,2527672.19
2024-09,Medicare Disability,828,2157411.5
2024-07,Medicare Disability,800,1865069.2
2024-08,Rx Duplicate,48,29628.16
2025-11,(uncategorised),1,
2026-04,(uncategorised),1,346.4
2025-07,Rx High Cost Drug,21,99825.99
2026-05,Medicare ESRD,331,603707.93
2025-12,(no claim allocation),16,
2024-10,Medicare Age,1352,4668973.45
2024-06,(no claim allocation),4,
2025-01,Medicare Disability,731,771064.48
2024-10,(no claim allocation),162,125.28
2026-04,Medicare Disability,775,1304736.53
2026-04,Terminated Coverage,2,2106.92
2025-05,CAQH,2462,753264.27
2026-05,Rx High Cost Drug,78,88251.07
2025-03,Medicare,6,9125.55
2025-08,Rx Prepay,1,
2024-12,Medicare Age,1311,3271057.7
2024-10,CAQH,1794,463700.54
2025-02,Medicare Age,1199,2971126.45
2026-03,Rx High Cost Drug,32,55256.6
2026-09,Rx Duplicate,13,7771.0
2024-09,Rx High Cost Drug,22,85735.77
2025-06,Medicare ESRD,462,953255.48
2025-04,CAQH,2511,753550.35
2026-09,COB Commercial,2095,1071688.62
2025-06,Terminated Coverage,14,560.34
2026-03,Medicare,7,2137.36
2026-02,Rx High Cost Drug,26,46557.67
2026-06,Medicare,8,31070.99
2026-02,Terminated Coverage,2,20660.51
2025-10,Terminated Coverage,4,335.62
2025-05,(no claim allocation),1,
2026-04,Medicare ESRD,276,1492471.79
2026-08,Rx Duplicate,78,71945.71
2025-11,Medicare Disability,624,1521262.82
2026-01,Rx High Cost Drug,28,18623.6
2025-06,Medicare,10,13122.7
2025-09,Medicare,7,29428.14
2024-07,Medicare ESRD,389,967626.4
2025-06,Rx High Cost Drug,22,137156.68
2025-07,Terminated Coverage,66,
2026-02,Medicare Disability,646,943593.77
2025-11,Rx High Cost Drug,39,80118.86
2025-09,Rx High Cost Drug,17,60030.12
2026-06,Rx High Cost Drug,69,79306.29
2025-05,Terminated Coverage,4,456.33
2025-11,Medicare,2,362.67
2024-07,Medicare,4,
2026-08,(no claim allocation),49,17521.12
2025-03,Duplicate,2,
2026-01,COB Commercial,4699,3404533.19
2026-09,CAQH,1173,476501.25
2024-07,CAQH,2052,640960.27
2026-06,Medicare ESRD,309,436078.48
2024-08,Medicare Disability,790,2718775.93
2024-07,(no claim allocation),6,
2025-12,Medicare Disability,742,1927957.85
2026-08,CAQH,2463,617966.51
2024-08,COB Commercial,5223,3863449.59
2025-10,Medicare,4,3914.26
2025-03,Medicare Disability,877,3894473.99
2025-09,Terminated Coverage,4,2731.01
2024-10,COB Commercial,5505,6138619.06
2025-09,Rx Duplicate,47,66719.26
2026-01,Medicare,4,3213.51
2026-09,Medicare Age,457,693590.01
2025-10,Medicare Age,1288,2530228.6
2024-09,Medicare ESRD,373,961294.25
2025-01,Rx High Cost Drug,24,92451.33
2025-07,CAQH,2817,170017.42
2026-01,Medicare Disability,690,1660805.06
2025-11,Terminated Coverage,1,
2025-03,Terminated Coverage,5,1891.97
2025-11,COB Commercial,4353,4454231.74
2025-08,Medicare ESRD,395,864115.55
2025-07,Medicare ESRD,410,942253.92
2025-08,Medicare Disability,737,1608659.09
2026-06,Terminated Coverage,4,
2026-05,Medicare Disability,697,791668.5
2025-02,(no claim allocation),3,
2026-07,(no claim allocation),21,4528.84
2025-09,Medicare ESRD,445,2228328.83
2025-09,COB Commercial,5264,5603287.03
2025-08,Terminated Coverage,1,1684.17
2025-09,CAQH,2638,802551.35
2025-05,Medicare ESRD,418,1113083.94
2025-05,Medicare Age,1252,2741400.85
2025-03,Medicare ESRD,486,2345073.64
2026-09,(no claim allocation),86,13526.64
2024-07,Terminated Coverage,14,63125.26
2026-06,Medicare Disability,617,1344659.89
2024-11,Rx High Cost Drug,23,215453.53
2025-02,Rx Duplicate,38,48017.53
2024-07,Rx Duplicate,56,61243.97
2026-04,Medicare Age,1150,2430567.35
2025-09,Medicare Age,1218,3577387.75
2024-07,Rx High Cost Drug,31,242514.25
2026-04,CAQH,2482,664999.54
2024-09,Rx Duplicate,33,123092.89
2026-01,Medicare Age,910,1869033.07
2026-02,Rx Duplicate,34,134680.76
2025-03,Rx High Cost Drug,23,71660.16
2026-01,Medicare ESRD,332,844055.6
2026-08,Rx High Cost Drug,70,64184.82
2026-05,Medicare,7,917.11
2024-08,Medicare,5,2493.58
2026-02,Medicare Age,963,2060818.0
2026-03,(no claim allocation),43,-13641.54
2025-06,Rx Duplicate,38,78020.47
2024-11,Terminated Coverage,15,3304.4
2024-07,COB Commercial,5095,5269554.76
2025-08,COB Commercial,4742,3495134.05
2025-04,Terminated Coverage,19,1078.3
2024-09,Terminated Coverage,13,5592.1
2026-06,Medicare Age,991,2507430.96
2026-07,Rx High Cost Drug,46,66461.63
2026-01,Terminated Coverage,4,8912.59
2026-03,Rx Duplicate,40,-27036.27
2024-09,CAQH,1681,564536.48
2026-04,(no claim allocation),48,
2025-05,Rx High Cost Drug,22,81068.63
2025-11,Medicare Age,916,2273623.72
2025-11,Medicare ESRD,272,713797.07
2024-11,Medicare ESRD,462,596179.41
2025-06,CAQH,2578,1097562.79
2024-09,Medicare,2,
2026-03,Medicare Age,1260,3476573.6
2024-08,Medicare ESRD,416,909585.03
2026-01,CAQH,2406,844711.25
2025-01,COB Commercial,5346,3336218.64
2024-08,CAQH,2114,621387.69
2026-06,COB Commercial,4808,3873329.94
2026-07,Terminated Coverage,5,1441.62
2026-03,Medicare ESRD,364,612207.05
2026-04,Rx Duplicate,88,85937.11
2025-03,(no claim allocation),5,
2025-03,COB Commercial,6133,6151737.35
2025-10,Medicare Disability,783,2481493.94
2025-02,Rx High Cost Drug,22,102780.05
2025-08,Rx Duplicate,24,10253.31
2025-05,Medicare Disability,899,1648771.81
2024-09,COB Commercial,4971,5005044.98
2025-05,COB Commercial,5555,4891052.14
2026-03,COB Commercial,5731,5668456.74
2025-11,CAQH,2255,967635.27
2026-05,COB Commercial,5581,2414215.77
2025-12,Medicare ESRD,375,843629.25
2025-05,Rx Duplicate,42,69271.8
2025-04,Rx Duplicate,37,44782.02
2025-06,COB Commercial,5130,5524055.81
2024-08,Medicare Age,1245,3609777.73
2025-07,COB Commercial,5544,4402022.28
2025-08,Rx High Cost Drug,9,24578.09
2025-05,Medicare,7,148.25
2024-12,Rx Prepay,1,
2024-07,Medicare Age,1310,2858270.7
2025-01,Rx Duplicate,58,152626.79
2025-10,COB Commercial,5078,4063486.03
2024-08,Terminated Coverage,34,31322.78
2026-02,(no claim allocation),3,
2025-02,Medicare ESRD,408,541045.8
2024-11,Medicare Age,1134,3481220.48
2025-08,Medicare Age,1141,2629205.23
2026-07,Medicare ESRD,337,1302118.07
2025-10,Medicare ESRD,385,1237804.8
2024-11,Medicare,9,3311.54
2026-02,COB Commercial,4846,4720022.16
2024-10,Rx Duplicate,44,83341.88
2025-04,Rx High Cost Drug,14,57166.7
2024-12,Terminated Coverage,4,2232.94
2025-12,Rx Duplicate,78,62901.22
2025-04,Medicare,10,
2026-09,Rx High Cost Drug,15,20534.05
2026-05,Rx Duplicate,70,76539.22
2024-10,Medicare,12,2576.61
2025-02,Medicare Disability,815,2089546.86
2025-06,Medicare Age,1072,1978448.4
2024-10,Terminated Coverage,6,1646.17
2025-10,(no claim allocation),6,
2026-07,Medicare,13,1206.01
2026-06,(no claim allocation),12,79.88
2026-06,CAQH,2437,760367.28
2025-03,CAQH,2369,1144863.56
2026-09,Medicare,2,6396.71
2025-04,Medicare Disability,1012,1437674.6
2025-11,Rx Duplicate,56,270958.2
2026-08,Medicare Disability,675,993314.46
2025-04,COB Commercial,6429,5532722.58
2024-08,(no claim allocation),41,
2024-12,Rx Duplicate,55,48955.32
2025-07,Medicare,8,22870.42
2024-09,(no claim allocation),2,
2025-07,(no claim allocation),2,
2026-05,Medicare Age,1226,2082331.44
2024-10,(uncategorised),1,
2024-06,Rx Duplicate,53,203742.18
2025-08,Medicare,8,45759.77
2025-12,Rx High Cost Drug,54,212886.46
2024-06,Rx High Cost Drug,21,51518.96
2025-12,COB Commercial,5011,3468358.52
2026-09,Medicare Disability,220,368357.9
2026-04,COB Commercial,5406,3182345.81
2025-12,Medicare Age,1159,2881767.33
2025-01,Terminated Coverage,12,4056.84
2026-06,Rx Duplicate,36,46185.73
2026-02,Medicare,5,17388.88
2025-01,Medicare,8,9200.53
2025-09,Medicare Disability,813,4833386.92
2024-10,Medicare ESRD,561,1294473.75
2025-03,Rx Duplicate,41,245235.42
2025-12,Medicare,10,12156.09
2024-09,Medicare Age,1104,4441649.61
2025-12,Terminated Coverage,4,
2024-11,Medicare Disability,749,1965994.26
2024-10,Rx High Cost Drug,20,86780.55
2025-08,CAQH,2531,939774.77
2026-05,CAQH,2844,879317.58
2024-12,Medicare ESRD,434,829048.03
2024-12,Rx High Cost Drug,26,229313.21
2024-06,Medicare ESRD,352,1474017.23
2026-03,CAQH,3050,1506251.4
2025-06,(no claim allocation),3,
2025-01,Medicare ESRD,398,973360.43
2026-09,Medicare ESRD,158,645482.64
2024-12,COB Commercial,4892,4999380.3
2026-07,Rx Duplicate,41,38875.07
2025-10,Rx Duplicate,58,146641.93
2024-12,Medicare,5,7246.0
2025-07,Medicare Age,1202,2856200.82
2024-11,COB Commercial,4976,4556813.84
2026-08,Medicare ESRD,350,520822.45
2025-07,Rx Duplicate,43,47435.31
2024-06,Terminated Coverage,18,5450.55
2025-04,Medicare ESRD,499,870561.7
2024-12,Medicare Disability,782,2018962.93
2026-07,COB Commercial,5172,3673954.55
2026-08,Terminated Coverage,3,583.11
2024-06,Medicare,3,-386.4
2024-11,Rx Duplicate,48,54570.5
2026-07,Medicare Disability,739,1689990.47
2025-02,Medicare,5,3836.2
2025-01,CAQH,1918,556187.74
2025-08,(no claim allocation),9,-46663.86
2026-02,CAQH,2209,843409.71
2024-10,Medicare Disability,848,1793590.56
2025-02,Terminated Coverage,5,
2026-05,(no claim allocation),10,-81.58
2026-08,Medicare,10,1694.26
2025-02,COB Commercial,5063,4577844.64
2025-03,Medicare Age,1237,4322299.28
2025-10,CAQH,2801,971761.46
2024-06,Medicare Disability,660,2572756.65
2024-06,COB Commercial,4840,5290516.14
2025-01,Medicare Age,1194,2719340.37
2025-01,(no claim allocation),4,
