ym,parent,n_remits,applied
2026-02,KAISERNTAP,11,
2024-11,KAISERMTAP,10,
2024-06,CENFIDELIS,50,39295.95
2026-02,KaiserSTap,11,
2025-08,KAISER_PSC,1,
2025-09,KAISER_WA,2,
2026-04,KAISER_PSC,4,
2025-02,AHP_RX,15,39391.04
2025-12,BCBSNC,17,-1964.16
2026-06,EMBLEM_FAC,132,52027.96
2024-12,HAP_RX,2,97419.97
2026-01,PREMERA,11,
2025-04,CHRISTUS,22,26807.65
2025-06,CIGNA_POW,36,376126.59
2025-02,OSC_RX,1,10587.69
2024-08,CIGNA_POW,36,76315.76
2025-12,BCBSSC,12,
2025-09,PREMERA,7,
2024-12,HSS_RX,4,17324.01
2024-07,PREMERA,21,-4764.54
2024-12,OSC_RX,1,20963.46
2026-01,KaiserSTap,27,24720.37
2026-08,CEN,1230,1191940.38
2025-05,THP,2,629.59
2024-07,KAISERNW,3,
2025-10,KAISER_PSC,6,
2026-06,KAISERNTAP,8,
2024-08,EMBLEM_FAC,287,413295.76
2024-12,CEN,1040,1191054.83
2026-05,KaiserSTap,29,
2025-07,KAISERNTAP,10,
2024-10,KaiserAmM2,1,
2024-12,AHP_RX,28,5524.68
2026-01,KAISERCO,1,
2024-06,THP_PUBLIC,11,-5507.5
2025-01,THP_MEDPRF,34,10956.33
2025-03,KAISERCO,3,
2025-01,MEDICADEAN,2,937.49
2026-07,BSCA_FAC,14,-28856.13
2025-02,THP_PUBLIC,1,6598.24
2024-07,CIGNA_POW,37,33136.11
2026-09,CAREFIRST,149,1616.48
2025-12,AETNA_CHK,37,36253.3
2024-11,(no claim allocation),181,111527.4
2024-11,THP,2,
2025-05,HNENGLAND,6,19463.05
2026-03,AHP,2496,1284625.28
2026-02,KAISERCO,2,
2025-08,EMBLEM_FAC,240,290863.25
2025-05,CHRISTUS,24,25899.15
2025-04,MEDICA,152,725825.2
2026-05,KAISER_PSC,10,
2024-12,CENFIDELIS,85,55566.78
2025-06,PREMERA,6,0.0
2025-04,GHI_RX,3,7200.95
2025-11,AHRP_RX,31,-1414.35
2024-11,BCBSNC,9,
2024-09,THP_MEDPRF,34,14416.9
2024-12,GHI_RX,9,21701.96
2025-12,KAISER_PNC,2,
2024-10,HSS_RX,1,1185.31
2026-05,KaiserAmbS,13,
2024-06,KaiserAmM2,1,
2026-02,KaiserAmbS,6,
2024-08,CIGNA_FAC,1303,1426980.61
2025-07,EMBLEM_FAC,584,169955.02
2024-07,GHI,2,100.0
2024-07,CIGNA_FAC,1254,2204672.13
2025-04,OSC_RX,5,14769.01
2024-10,CENFIDELIS,104,81246.98
2024-06,OSC_RX,8,
2025-07,KaiserAmbS,4,
2024-08,BCBSNC_RX,1,
2025-11,CIGNA_FAC,1545,2892534.09
2024-09,MEDICADEAN,3,468.53
2025-03,KAISERNTAP,17,
2026-05,EMBLEM_FAC,182,183524.26
2025-08,KaiserSTap,16,
2024-10,CEN,1213,2098097.34
2024-10,GHI_RX,4,5745.69
2024-07,KAISERAMNW,1,
2025-11,CIGNA_PRO,2206,1808864.34
2024-12,BCBSSC,24,1437.09
2025-12,(no claim allocation),16,
2026-03,CIGNA_PRO,3231,4217576.7
2025-11,PREMERA,15,
2025-02,KAISERAMHI,2,
2025-09,CIGNA_PRO,2799,3268612.79
2026-01,KAISER_PSC,4,
2026-02,EMBLEM_FAC,217,173608.1
2026-01,EMBLEM_FAC,222,184666.33
2026-09,GEHA,167,210001.01
2026-01,AHRP_RX,20,10419.16
2024-07,CIGNA_PRO,1928,2502517.24
2025-10,KAISERCO,2,
2026-04,AHRP,242,222480.77
2026-01,CIGNA_POW,32,354968.86
2024-06,KAISERAMHI,2,
2025-05,AETNA_CHK,14,11954.09
2026-07,MEDICA,54,160661.63
2024-10,AHP_RX,16,18362.17
2026-04,BCBSFL,19,
2025-05,THP_PUBLIC,1,
2025-12,AEHMO_RX,1,
2025-09,KaiserAmbS,1,
2024-06,CEN,975,1813297.45
2026-07,HNENGLAND,5,17758.62
2026-06,KaiserSTap,47,
2026-02,KAISER_PSC,16,
2026-03,AHRP_RX,11,-19755.6
2024-11,BCBSSC,50,3192.28
2025-10,KAISERNTAP,1,
2025-10,EMBLEM_FAC,284,413871.61
2024-11,AEHMO,3,205.79
2025-05,EMBFAC_RX,2,37994.6
2025-02,HIP_RX,10,82028.67
2026-04,AHRP_RX,49,-8163.29
2025-06,BCBSFL,3,
2025-05,AEHMO,1,65.17
2024-10,HAP_RX,8,20673.29
2025-06,AHRP,344,542846.9
2026-08,MEDICA,97,259469.77
2025-03,BCBSNC_RX,3,
2025-02,CEN,1183,1039718.33
2025-12,HSS_RX,17,7830.27
2024-10,KAISERAMHI,3,
2026-08,BSCA_FAC,63,-354713.71
2024-11,AEHMO_RX,4,7745.94
2024-08,AHRP_RX,29,89049.92
2025-12,BCBSVT,2,
2025-11,AHRP,211,228715.13
2025-04,HSS_RX,3,3732.45
2025-12,HNENGLAND,8,3284.14
2025-08,KAISERNTAP,4,
2025-07,OSCAR,577,881437.84
2025-05,MEDICADEAN,5,1982.8
2024-12,THP,2,2670.68
2024-09,EMBLEM_FAC,338,268698.6
2025-05,OSC_RX,3,27556.44
2024-06,MEDICA,241,924717.49
2025-08,KaiserAmbS,4,
2025-05,BCBSSC,9,7248.1
2026-06,OSCAR,432,1721144.03
2026-03,PREMERA,15,-6612.77
2026-04,KaiserAmbS,8,
2025-07,KaiserSTap,45,836.48
2025-10,KaiserAmbS,3,
2025-09,CIGNA_FAC,1658,2318982.26
2024-11,KAISERAMGA,1,
2024-09,KAISERAMCO,2,
2026-04,CIGNA_PRO,2888,1845321.19
2025-04,KaiserAmM2,3,
2026-03,AHRP,269,301594.89
2025-06,CIGNA_FAC,1712,2478137.96
2025-12,KAISERMTAP,10,
2024-06,AHP_RX,31,48249.29
2025-07,KAISER_PSC,1,
2025-02,MEDICA,144,235504.32
2026-03,CIGNA_FAC,1963,1574874.42
2026-09,WELLCARE,3,626.46
2025-10,OSCAR,506,1422098.78
2024-06,CHRISTUS,11,141.94
2024-10,BCBSSC,28,11447.2
2025-09,BCBSFL,64,
2025-11,HNA_RX,3,
2025-09,AHRP,269,491186.16
2024-07,BCBSNCF_RX,1,5686.17
2026-07,HSS_RX,2,
2025-03,KaiserAmbS,15,
2026-05,OSCAR,616,1086813.92
2026-09,KaiserAmN2,1,
