ym,n_remits,applied,reversals,completed_recovery,n_claims
2024-06,8815,13255686.75,-1191461.68,14447033.83,9725
2024-07,9757,11968364.81,-1362687.34,13331052.15,10319
2024-08,9942,12057905.34,-1748898.49,13806723.83,10128
2024-09,9029,13344357.58,-874037.35,14218394.93,10752
2024-10,10305,14533827.85,-1017417.46,15551061.25,11649
2024-11,9327,11555128.83,-1152431.02,12707559.85,10360
2024-12,9112,12207560.8,-688430.98,12895991.78,11075
2025-01,9693,8614507.15,-1964190.89,10576763.26,11233
2025-02,9562,10876462.59,-728654.01,11605116.6,12056
2025-03,11184,18186360.92,-870545.37,19056906.29,14439
2025-04,11898,11394280.82,-1157242.99,12551523.81,13720
2025-05,10662,11298518.02,-1011820.28,12310142.88,13263
2025-06,10049,11750489.69,-1327183.69,13077673.38,13628
2025-07,11045,11068298.35,-1540084.08,12608039.29,13634
2025-08,9598,9572500.17,-1203506.01,10776006.18,11779
2025-09,10453,17203850.41,-1632911.78,18836600.42,13182
2025-10,10437,11492415.03,-1643708.35,13135857.65,13461
2025-11,8519,10281990.35,-1495908.31,11777898.66,10858
2025-12,9992,10282149.51,-1952875.78,12235025.29,12379
2026-01,9112,8687903.26,-784917.53,9472396.28,10301
2026-02,9004,9342012.12,-930513.63,10272525.75,11313
2026-03,11331,12833245.87,-1061000.66,13894126.11,14480
2026-04,10296,9317633.5,-1415790.27,10733423.77,12058
2026-05,10846,6943923.04,-1930131.48,8868395.39,12007
2026-06,9292,9078509.44,-846319.94,9924829.38,9585
2026-07,10262,10619508.86,-1360956.27,11979982.04,9208
2026-08,9732,8629104.23,-1436253.89,10065358.12,8774
2026-09,4219,3303848.82,0.0,3303848.82,4380
