Breakout,Month,ProgramBreakout,Quarter,Recovered,Year
Commercial Fully Insured,1,COB,1,295965.06,2024
Commercial Fully Insured,1,Retro Term,1,245409.89,2024
Commercial Self Insured,1,COB,1,913684.1,2024
Commercial Self Insured,1,Retro Term,1,304837.5,2024
Coventry,1,COB,1,6172.36,2024
Medicare (HMO),1,COB,1,116311.42,2024
Medicare (HRP),1,COB,1,1070024.29,2024
Student Health,1,Retro Term,1,2165.1,2024
Commercial Fully Insured,2,COB,1,151088.35,2024
Commercial Fully Insured,2,Retro Term,1,166840.41,2024
Commercial Self Insured,2,COB,1,337736.49,2024
Commercial Self Insured,2,Retro Term,1,364103.21,2024
Medicare (HMO),2,COB,1,64524.6,2024
Medicare (HRP),2,COB,1,677085.82,2024
Student Health,2,Retro Term,1,354.09,2024
Commercial Fully Insured,3,COB,1,255755.76,2024
Commercial Fully Insured,3,Retro Term,1,411587.59,2024
Commercial Self Insured,3,COB,1,512691.65,2024
Commercial Self Insured,3,Retro Term,1,462448.85,2024
Medicare (HMO),3,COB,1,162015.7,2024
Medicare (HRP),3,COB,1,762867.33,2024
RESEARCH,3,Retro Term,1,190.81,2024
Student Health,3,Retro Term,1,2897.58,2024
Commercial Fully Insured,4,COB,2,279843.94,2024
Commercial Fully Insured,4,Retro Term,2,340214.94,2024
Commercial Self Insured,4,COB,2,318490.36,2024
Commercial Self Insured,4,Retro Term,2,395170.68,2024
Coventry,4,COB,2,13404.12,2024
Medicare (HMO),4,COB,2,78545.63,2024
Medicare (HRP),4,COB,2,1055983.26,2024
RESEARCH,4,Retro Term,2,198.95,2024
Student Health,4,Retro Term,2,8388.46,2024
Commercial Fully Insured,5,COB,2,129160.27,2024
Commercial Fully Insured,5,Retro Term,2,375941.9,2024
Commercial Self Insured,5,COB,2,481091.03,2024
Commercial Self Insured,5,Retro Term,2,338318.19,2024
Coventry,5,COB,2,4438.32,2024
Medicare (HMO),5,COB,2,52936.29,2024
Medicare (HRP),5,COB,2,775417.15,2024
RESEARCH,5,Retro Term,2,129.45,2024
Student Health,5,Retro Term,2,3688.76,2024
Commercial Fully Insured,6,COB,2,177204.86,2024
Commercial Fully Insured,6,Retro Term,2,186053.05,2024
Commercial Self Insured,6,COB,2,295687.35,2024
Commercial Self Insured,6,Retro Term,2,470068.53,2024
Medicare (HMO),6,COB,2,207861.67,2024
Medicare (HRP),6,COB,2,1072462.27,2024
Student Health,6,Retro Term,2,9254.08,2024
Commercial Fully Insured,7,COB,3,276189.71,2024
Commercial Fully Insured,7,Retro Term,3,325017.02,2024
Commercial Self Insured,7,COB,3,725058.44,2024
Commercial Self Insured,7,Retro Term,3,513558.61,2024
Medicare (HMO),7,COB,3,141583.34,2024
Medicare (HRP),7,COB,3,1109883.46,2024
RESEARCH,7,Retro Term,3,31.18,2024
Student Health,7,Retro Term,3,3735.67,2024
Commercial Fully Insured,8,COB,3,538197.24,2024
Commercial Fully Insured,8,Retro Term,3,605721.88,2024
Commercial Self Insured,8,COB,3,615271.72,2024
Commercial Self Insured,8,Retro Term,3,614280.98,2024
Medicare (HMO),8,COB,3,19052.2,2024
