Year,Month,ProgramBreakout,recovered,n
2024,1,COB,2402157.23,5
2024,1,Retro Term,552412.49,3
2024,2,COB,1230435.26,4
2024,2,Retro Term,531297.71,3
2024,3,COB,1693330.44,4
2024,3,Retro Term,877124.83,4
2024,4,COB,1746267.31,5
2024,4,Retro Term,743973.03,4
2024,5,COB,1443043.06,5
2024,5,Retro Term,718078.3,4
2024,6,COB,1753216.15,4
2024,6,Retro Term,665375.66,3
2024,7,COB,2252714.95,4
2024,7,Retro Term,842342.48,4
2024,8,COB,2358936.37,4
2024,8,Retro Term,1224593.59,4
2024,9,COB,1604370.02,4
2024,9,Retro Term,819096.45,4
2024,10,COB,1524590.09,4
2024,10,Retro Term,428516.81,4
2024,11,COB,1059814.53,4
2024,11,Retro Term,509018.39,4
2024,12,COB,1019092.38,4
2024,12,Retro Term,577404.66,3
2025,1,COB,1290381.25,4
2025,1,Retro Term,581194.18,4
2025,2,COB,1712405.6,4
2025,2,Retro Term,540827.81,3
2025,3,COB,3153285.71,5
2025,3,Retro Term,1164393.52,4
2025,4,COB,3475060.32,4
2025,4,Retro Term,904161.04,4
2025,5,COB,1784421.22,4
2025,5,Retro Term,718572.11,4
2025,6,COB,1913446.88,4
2025,6,Retro Term,506878.28,3
2025,7,COB,2548859.09,4
2025,7,Retro Term,529343.68,4
2025,8,COB,1973277.68,4
2025,8,Retro Term,500108.34,3
2025,9,COB,2332940.1,3
2025,9,Retro Term,543991.5,3
2025,10,COB,2083027.1,4
2025,10,Retro Term,547148.96,4
2025,11,COB,1283016.91,5
2025,11,Retro Term,389961.37,4
2025,12,COB,1750053.45,4
2025,12,Retro Term,530557.41,4
2026,1,COB,1837460.36,4
2026,1,Retro Term,307634.73,3
2026,2,COB,2556632.5,3
2026,2,Retro Term,571140.37,4
2026,3,COB,3475786.47,4
2026,3,Retro Term,546175.07,4
2026,4,COB,1927169.23,4
2026,4,Retro Term,650511.23,4
2026,5,COB,1715998.77,4
2026,5,Retro Term,493890.47,4
2026,6,COB,2699315.93,4
2026,6,Retro Term,669488.63,4
2026,7,COB,1764375.53,3
2026,7,Retro Term,526523.7,4
2026,8,COB,1375196.91,4
2026,8,Retro Term,679016.74,4
2026,9,COB,437867.61,3
2026,9,Retro Term,533700.52,4
