ym,posted,submitted,invoiced,investigations
2025-05,0.0,0.0,7807901.659999998,114
2025-06,0.0,354511.48,8791916.939999994,2022
2025-07,0.0,1451394.5100000002,8983713.049999977,2122
2025-08,0.0,1504885.86,3443900.8900000034,2032
2025-09,17350.66,1150698.220000001,5391491.799999999,2652
2025-10,1788555.3299999996,557776.9700000003,2634959.379999995,2688
2025-11,0.0,782171.0599999989,1968602.530000001,1967
2025-12,0.0,749561.2600000005,1601043.1500000032,816
2026-01,0.0,342458.53000000014,866179.6400000011,4094
2026-02,0.0,485915.4400000002,4298047.049999997,4467
2026-03,0.0,563614.7100000007,589973.0000000006,1673
2026-04,1338979.9500000002,550280.0100000002,1871607.2899999993,567
2026-05,0.0,344356.5799999998,8163410.07,1040
2026-06,3294310.4300000095,457049.6100000003,8602047.099999992,2342
2026-07,247081.35000000003,698188.4300000002,9234268.430000003,1338
2026-08,265408.18000000005,1259031.3199999998,10621787.320000002,3708
2026-09,0.0,771970.2600000006,1651242.5400000005,842
