ym,n,recovered,invoiced
2025-03,6,3108.12,3108.12
2025-04,70,51261.2,55204.08
2025-05,486,916514.27,944505.39
2025-06,669,402126.53,477571.43
2025-07,2220,856499.94,977991.08
2025-08,825,544086.27,577162.28
2025-09,798,337765.98,381546.75
2025-10,872,474753.46,521777.98
2025-11,452,191512.22,226687.36
2025-12,989,520208.29,648194.63
2026-01,759,333558.22,441650.14
2026-02,971,451494.54,497421.05
2026-03,1494,746393.01,839955.69
2026-04,506,286802.45,320406.31
2026-05,448,692210.73,750487.28
2026-06,766,648750.13,723521.08
2026-07,1595,772854.04,862937.91
2026-08,1154,714634.5,795355.2
2026-09,347,208380.71,223373.38
