Client,n,recovered,min_d,max_d
Aetna,3087,168989731.04636362,1578528000.0,1788998400.0
HealthSpring,2932,132127206.50629045,1578355200.0,1788998400.0
Centene,525,107953039.08182682,1579046400.0,1787616000.0
Wellcare,169,94820085.97,1698624000.0,1787616000.0
Anthem Commercial Expansion,133,67001655.61,1635811200.0,1786665600.0
OptumRx-UHC,74,64059306.57272727,1579046400.0,1745798400.0
Humana,115,49128530.24,1579824000.0,1709164800.0
AHP_RX,13307,40621171.6,1578312462.98,1788869532.18
WellPoint Part D,398,38301996.82636364,1578873600.0,1787616000.0
Elixir Insurance,1020,26431184.49,1646784000.0,1788134400.0
AHRP_RX,10899,21184815.37,1582806189.803,1788871229.093
Elevance,41,19604568.181818184,1680566400.0,1787616000.0
NY State Health Insurance Plan,737,19430393.46,1578528000.0,1788998400.0
EmblemHealth,1785,17373657.68,1593475200.0,1788998400.0
Cigna,30,15983972.727272728,1696982400.0,1787788800.0
BCBS NC,1424,15582365.812727273,1578355200.0,1788998400.0
Carefirst Commercial,208,15399592.89,1579219200.0,1786665600.0
EverNorth,28,14560385.945454545,1749513600.0,1787184000.0
Anthem Retro Term Recovery Program,80,14391544.82,1578873600.0,1786665600.0
Anthem SE,128,14146938.86,1578873600.0,1786665600.0
Centene Fidelis,150,13682401.57,1654646400.0,1787616000.0
Elixir,47,12895659.090909092,1655078400.0,1786665600.0
NYSHIP,78,11146433.00002592,1580428800.0,1786665600.0
BCBS GA,127,8733272.69,1578873600.0,1786665600.0
AEHMO_RX,2817,7458775.79,1578312502.293,1749799974.257
UNET,387,7125459.189090909,1578355200.0,1672358400.0
CEN_RX,1044,7086165.85,1579824000.0,1773818099.573
Catamaran EGWP,136,6329142.335500354,1581465600.0,1738195200.0
OSCAR,382,6289827.18,1578355200.0,1787875200.0
Empire,124,5135608.28,1578873600.0,1786665600.0
GHI_RX,731,5064379.88,1579046400.0,1786625432.973
HNA_RX,115,4445507.45,1580256000.0,1783350671.05
HIP_RX,655,4192884.43,1578355200.0,1786375016.513
Excellus,595,3620144.95363636,1677542400.0,1788998400.0
BlueCross BlueShield South Carolina,69,2598604.27,1759190400.0,1788998400.0
Elevance Health,3,2531840.909090909,1661212800.0,1682380800.0
OptumRx,15,2360681.818181816,1622419200.0,1724198400.0
Health Alliance Plan,405,2080762.85,1578528000.0,1788134400.0
AETNA_CHK,467,1688267.15,1578312447.51,1788164333.347
HealthNow,186,1492323.320909091,1643241600.0,1757894400.0
Anthem Central,82,1404711.97,1644364800.0,1786665600.0
Oxford,243,1368705.03,1578355200.0,1670284800.0
Tufts,182,1261347.51,1602547200.0,1788998400.0
HSS_RX,192,1048610.27,1580256000.0,1788167909.01
MMOH_RX,223,906256.95,1586476800.0,1788874648.407
BCBSNCF_RX,363,872125.43,1705094307.287,1787151350.393
HAP_RX,136,797463.39,1578561669.587,1787822497.85
BCBSNC_RX,77,771808.55,1627381282.843,1765794499.057
Anthem NASCO,56,736682.81,1578873600.0,1765756800.0
OSC_RX,164,705355.86,1581672466.893,1788514152.263
Premera,70,613861.5,1660262400.0,1771545600.0
AFC,7,591818.181818181,1731456000.0,1787184000.0
EWGS_RX,52,568536.92,1580947200.0,1636978622.55
HealthSring,1,515904.545454545,1609372800.0,1609372800.0
BCBS NC State,98,502717.17,1578355200.0,1765756800.0
EMBFAC_RX,102,424800.27,1641903099.117,1785236842.49
Catamaran - EGWP,3,315349.999990873,1630368000.0,1635638400.0
Catamaran Regence,8,256715.021781818,1581465600.0,1614470400.0
EFACETS_RX,10,215837.58,1585094400.0,1639557630.7
Medical Mutual of Ohio,95,172377.03,1661817600.0,1787616000.0
