d,recovered,n
1779148800,168329.62,87
1779235200,40527.45,13
1779321600,396939.03,27
1779753600,2177894.633636363,53
1779840000,751074.07,23
1779926400,240607.61,17
1780012800,987566.55,34
1780358400,265132.7,122
1780444800,245499.88,12
1780531200,3237199.58,35
1780876800,240748.86,115
1780963200,805618.85,34
1781049600,158809.7,19
1781136000,425698.428181818,7
1781222400,642698.17,34
1781481600,729691.852727273,96
1781654400,103057.78,11
1782086400,125778.25,44
1782172800,622857.52,19
1782259200,1005694.23,29
1782345600,123910.19,4
1782432000,9969602.76,36
1782691200,8262896.034545454,67
1782777600,2186060.23,38
1783296000,727551.02,251
1783382400,234352.08,18
1783555200,285420.19,46
1783641600,2628277.722727273,35
1783900800,237912.71,75
1783987200,1373283.983636364,27
1784073600,893082.51,33
1784246400,9675804.974545455,14
1784505600,71235.39,70
1784592000,516206.81,25
1784678400,328710.57,14
1784764800,2907954.39,8
1784851200,4088407.593636363,24
1785110400,326896.18,114
1785196800,929100.92,24
1785283200,486837.73,23
1785369600,233998.8,13
1785456000,489445.64,19
1785801600,255345.28,106
1786320000,121128.95,87
1786406400,630951.57,23
1786492800,738670.93,25
1786579200,524412.857272727,40
1786665600,6416889.775454545,48
1787011200,186652.64,60
1787097600,406531.59,33
1787184000,1895241.025454545,16
1787529600,244861.05,83
1787616000,13487195.657272728,39
1787702400,993404.86,28
1787788800,968885.102727273,32
1787875200,387959.9,27
1788134400,544313.3,95
1788480000,8829.81,3
1788825600,94225.69,46
1788912000,471376.99,15
1788998400,583254.39,18
