ym,ReportBucket,recovered
2020-01,Humana/OptumUHC,1588908.3
2020-01,Other,3366370.075454545
2020-02,Humana/OptumUHC,2796216.225454545
2020-02,Other,4025466.275454546
2020-03,Humana/OptumUHC,1242587.39
2020-03,Other,5783187.349090909
2020-04,Humana/OptumUHC,1683727.37
2020-04,Other,4824631.270909091
2020-05,Humana/OptumUHC,3237898.840909091
2020-05,Other,4110874.829090909
2020-06,Humana/OptumUHC,1722681.47
2020-06,Other,4302855.777272727
2020-07,Humana/OptumUHC,1602020.98
2020-07,Other,3847282.36
2020-08,Humana/OptumUHC,2156475.7855
2020-08,Other,5672834.1382
2020-09,Humana/OptumUHC,1299388.76
2020-09,Other,3175485.528181818
2020-10,Humana/OptumUHC,1764605.93
2020-10,Other,6526725.83
2020-11,Humana/OptumUHC,945911.68
2020-11,Other,3985277.021818182
2020-12,Humana/OptumUHC,2603398.339090909
2020-12,Other,4364226.555454545
2021-01,Humana/OptumUHC,2065069.47
2021-01,Other,5469032.718181818
2021-02,Humana/OptumUHC,2423092.6490909
2021-02,Other,4605949.89631
2021-03,Humana/OptumUHC,2931716.62
2021-03,Other,6660911.277272727
2021-04,Humana/OptumUHC,1797902.85
2021-04,Other,5600627.078181818
2021-05,Humana/OptumUHC,4535971.04
2021-05,Other,6417368.195454545
2021-06,Humana/OptumUHC,3536062.41
2021-06,Other,4209506.436362
2021-07,Humana/OptumUHC,5176336.596364
2021-07,Other,5198166.464545
2021-08,Humana/OptumUHC,5302318.3672636
2021-08,Other,4649981.27183
2021-09,Humana/OptumUHC,4850108.43
2021-09,Other,5514839.940908
2021-10,Humana/OptumUHC,9773489.912727272
2021-10,Other,4119372.602727273
2021-11,Humana/OptumUHC,2760426.170909091
2021-11,Other,7053543.207272727
2021-12,Humana/OptumUHC,7402070.9
2021-12,Other,3955507.986363636
2022-01,Humana/OptumUHC,4906173.72
2022-01,Other,4770655.655454545
2022-02,Humana/OptumUHC,2440431.94
2022-02,Other,7680506.689090908
2022-03,Humana/OptumUHC,4180853.19
2022-03,Other,6886242.560909091
2022-04,Humana/OptumUHC,4840122.93
2022-04,Other,7759472.71
2022-05,Humana/OptumUHC,1271175.39
2022-05,Other,5404372.570000003
2022-06,Humana/OptumUHC,8021290.78
2022-06,Other,6608628.526363637
2022-07,Humana/OptumUHC,5456629.85
2022-07,Other,7877357.04
2022-08,Humana/OptumUHC,1309352.682727273
2022-08,Other,8508668.238181816
2022-09,Humana/OptumUHC,2962909.9
2022-09,Other,6285200.733636364
2022-10,Humana/OptumUHC,4098052.229090909
2022-10,Other,8676368.935454546
2022-11,Humana/OptumUHC,2193150.1
2022-11,Other,8126909.40909091
2022-12,Humana/OptumUHC,2915441.75
2022-12,Other,9156306.136363637
2023-01,Humana/OptumUHC,1956129.12
2023-01,Other,8926405.563636363
2023-02,Humana/OptumUHC,468606.13
2023-02,Other,10451268.105454545
2023-03,Humana/OptumUHC,1636372.91
2023-03,Other,9471484.167272726
2023-04,Humana/OptumUHC,1406067.09
2023-04,Other,11012798.016363636
2023-05,Humana/OptumUHC,1162415.68
2023-05,Other,12707966.370000003
2023-06,Humana/OptumUHC,314525.94
2023-06,Other,11686187.10909091
2023-07,Humana/OptumUHC,274208.32
2023-07,Other,14549062.767272728
2023-08,Other,15253385.551772725
2023-09,Humana/OptumUHC,704970.57
2023-09,Other,14551243.882727275
2023-10,Humana/OptumUHC,339520.72
2023-10,Other,11758683.03
2023-11,Other,16115659.350909092
2023-12,Humana/OptumUHC,68969.36
2023-12,Other,16368309.913636362
2024-01,Humana/OptumUHC,82590.95
2024-01,Other,13370135.60909091
2024-02,Humana/OptumUHC,26803.05
2024-02,Other,13969456.407272728
2024-03,Humana/OptumUHC,11470.168181818
2024-03,Other,12096115.141818183
2024-04,Other,13767210.986363636
2024-05,Humana/OptumUHC,22421.26
2024-05,Other,16770110.342727272
2024-06,Other,15948048.071818182
2024-07,Humana/OptumUHC,20.94
2024-07,Other,17083905.714545455
2024-08,Humana/OptumUHC,3851.72
2024-08,Other,14744486.966363637
2024-09,Other,14116468.255454546
2024-10,Other,14366664.387272727
2024-11,Humana/OptumUHC,17456.46
2024-11,Other,12709348.467272729
2024-12,Other,15283033.88
2025-01,Humana/OptumUHC,36794.91
2025-01,Other,11791079.34
2025-02,Other,14974088.823636364
2025-03,Other,18054462.034545455
2025-04,Humana/OptumUHC,-672.88
2025-04,Other,24609697.312727273
2025-05,Other,22506231.8
2025-06,Other,18368411.348181818
2025-07,Other,23334596.342727274
2025-08,Other,18039988.59090909
2025-09,Other,20064360.543636363
2025-10,Other,22148023.45818182
2025-11,Other,21570217.605454545
2025-12,Other,29181324.036363635
2026-01,Other,13572929.636363635
2026-02,Other,17345012.14636364
2026-03,Other,23584003.176363636
2026-04,Other,22614690.018181816
2026-05,Other,20619768.908181816
2026-06,Other,29150955.015454546
2026-07,Other,26434479.214545455
2026-08,Other,27802444.48818182
2026-09,Other,1157686.88
