ym,Client,recovered,n
2025-07,AETNA_CHK,6838.0,4
2025-07,AFC,80363.636363636,1
2025-07,AHP_RX,341421.52,138
2025-07,AHRP_RX,510660.68,260
2025-07,Aetna,3610611.860909091,68
2025-07,Anthem Central,15768.32,2
2025-07,Anthem Commercial Expansion,2474884.36,3
2025-07,Anthem NASCO,2804.74,1
2025-07,Anthem Retro Term Recovery Program,10679.06,1
2025-07,Anthem SE,351252.24,3
2025-07,BCBS GA,266862.27,3
2025-07,BCBS NC,182889.642727273,23
2025-07,BCBSNCF_RX,26132.69,19
2025-07,CEN_RX,350363.44,38
2025-07,Carefirst Commercial,282968.2,2
2025-07,Centene,3004881.994545455,8
2025-07,Centene Fidelis,71334.15,2
2025-07,Cigna,2000036.363636364,2
2025-07,EMBFAC_RX,74051.81,9
2025-07,Elevance,384045.454545455,1
2025-07,Elixir,5795.454545455,1
2025-07,Elixir Insurance,109343.75,15
2025-07,EmblemHealth,200782.04,33
2025-07,Empire,8087.92,3
2025-07,Excellus,106821.912727273,10
2025-07,GHI_RX,972999.32,68
2025-07,HIP_RX,221834.96,34
2025-07,HNA_RX,14857.42,4
2025-07,HSS_RX,21872.81,7
2025-07,Health Alliance Plan,18598.16,8
2025-07,HealthSpring,2165707.28,34
2025-07,MMOH_RX,16229.26,5
2025-07,NY State Health Insurance Plan,82099.79,7
2025-07,NYSHIP,132575.772727273,1
2025-07,OSC_RX,2160.2,1
2025-07,Premera,1665.25,1
2025-07,Tufts,131120.31,4
2025-07,Wellcare,4391280.24,6
2025-07,Wellpoint Part D,681914.06,6
2025-08,AETNA_CHK,5471.82,6
2025-08,AHP_RX,593815.13,233
2025-08,AHRP_RX,274956.3,142
2025-08,Aetna,3004908.747272727,52
2025-08,Anthem Central,28337.09,1
2025-08,Anthem Commercial Expansion,1507101.79,3
2025-08,Anthem Retro Term Recovery Program,19388.32,1
2025-08,Anthem SE,159258.2,2
2025-08,BCBS GA,132660.53,2
2025-08,BCBS NC,445927.697272727,32
2025-08,BCBS NC State,1498.86,1
2025-08,BCBSNCF_RX,62183.71,29
2025-08,CEN_RX,118843.82,12
2025-08,Carefirst Commercial,208876.32,2
2025-08,Centene,2358801.276363636,8
2025-08,Centene Fidelis,105008.78,3
2025-08,Elevance,853477.272727273,1
2025-08,Elixir,22409.090909091,2
2025-08,Elixir Insurance,127790.26,16
2025-08,EmblemHealth,176745.07,31
2025-08,Empire,11715.05,2
2025-08,Excellus,46700.22,9
2025-08,GHI_RX,200875.78,28
2025-08,HIP_RX,117495.76,22
2025-08,Health Alliance Plan,3223.16,5
2025-08,HealthSpring,1442306.46,26
2025-08,Medical Mutual of Ohio,498.5,2
2025-08,NY State Health Insurance Plan,261148.25,4
2025-08,NYSHIP,132575.772727273,1
2025-08,OSCAR,838072.29,5
2025-08,OSC_RX,7674.87,6
2025-08,Tufts,75716.85,7
2025-08,WellPoint Part D,4636.363636364,1
2025-08,Wellcare,4399160.23,6
2025-08,Wellpoint Part D,290728.95,6
2025-09,AETNA_CHK,139.15,2
2025-09,AHP_RX,456215.25,163
2025-09,AHRP_RX,440059.56,279
2025-09,Aetna,3707454.327272727,54
2025-09,Anthem Central,27678.7,2
2025-09,Anthem Commercial Expansion,1197219.22,3
2025-09,Anthem Retro Term Recovery Program,2858.75,1
2025-09,Anthem SE,169413.95,2
2025-09,BCBS GA,90833.62,2
2025-09,BCBS NC,461147.340909091,26
2025-09,BCBS NC State,673.81,1
2025-09,BCBSNCF_RX,7237.58,4
2025-09,BlueCross BlueShield South Carolina,14408.23,1
2025-09,Carefirst Commercial,338769.21,2
2025-09,Centene,3814734.033636364,8
2025-09,Centene Fidelis,222860.95,3
2025-09,Cigna,711022.727272727,1
2025-09,Elevance,161113.636363636,1
2025-09,Elixir Insurance,332287.94,15
2025-09,EmblemHealth,64239.04,21
2025-09,Empire,2423.84,2
2025-09,EverNorth,17350.66,2
2025-09,Evernorth,26947.454545455,1
2025-09,Excellus,47778.878181818,8
