ym,InvestigationType,recovered,n
2025-07,Auto/No Fault Primary to Part D,12.37,1
2025-07,COBC OI Primary to Part D,9714464.22,46
2025-07,Converted Compliance Fee,4047225.772727275,10
2025-07,ESRD Primary to Part D,600.03,6
2025-07,Hospice Primary to Part D,44874.74,36
2025-07,LTI Primary to Part D,18307.85,1
2025-07,MC Part D Secondary,53166.18,14
2025-07,Medicaid Not Primary,941257.17,6
2025-07,OI Prime,3918983.95,49
2025-07,Part D Primary to Commercial,135107.86,7
2025-07,Post Term,1881512.02,53
2025-07,RxMedical,2559422.11,587
2025-07,TPL Primary to Part D,19064.53,18
2025-07,Workers Comp Primary to Part D,597.54,2
2025-08,Auto/No Fault Primary to Part D,603.82,2
2025-08,COBC OI Primary to Part D,7776286.61,52
2025-08,Converted Compliance Fee,2592257.590909091,8
2025-08,ESRD Primary to Part D,1802.4,1
2025-08,Hospice Primary to Part D,139194.88,27
2025-08,LTI Primary to Part D,7173.48,1
2025-08,MC Part D Secondary,58635.29,14
2025-08,Medicaid Not Primary,464635.33,5
2025-08,OI Prime,3556356.13,44
2025-08,Part D Primary to Commercial,292256.79,11
2025-08,Post Term,1755350.17,56
2025-08,RxMedical,1381317.19,478
2025-08,TPL Primary to Part D,13586.4,9
2025-08,Workers Comp Primary to Part D,532.51,1
2025-09,COBC OI Primary to Part D,9145781.11,44
2025-09,Converted Compliance Fee,3648038.363636363,8
2025-09,ESRD Primary to Part D,86.28,2
2025-09,Hospice Primary to Part D,133566.96,30
2025-09,LTI Primary to Part D,5059.41,1
2025-09,MC Part D Secondary,26975.15,12
2025-09,Medicaid Not Primary,1224530.38,5
2025-09,OI Prime,2279803.62,34
2025-09,Part D Primary to Commercial,698675.48,8
2025-09,Post Term,1731053.64,51
2025-09,RxMedical,1140730.64,523
2025-09,TPL Primary to Part D,29458.28,15
2025-09,Workers Comp Primary to Part D,601.23,3
2025-10,Auto/No Fault Primary to Part D,35.18,3
2025-10,COBC OI Primary to Part D,9123079.9,45
2025-10,Converted Compliance Fee,3778472.318181819,10
2025-10,ESRD Primary to Part D,384.48,2
2025-10,Hospice Primary to Part D,151719.84,32
2025-10,LTI Primary to Part D,967.43,1
2025-10,MC Part D Secondary,301178.17,12
2025-10,Medicaid Not Primary,2142222.6,13
2025-10,OI Prime,3414570.31,47
2025-10,Part D Primary to Commercial,282990.45,7
2025-10,Post Term,1435190.63,54
2025-10,RxMedical,1511189.81,681
2025-10,TPL Primary to Part D,4943.42,16
2025-10,Workers Comp Primary to Part D,1078.92,3
2025-11,Auto/No Fault Primary to Part D,65.76,2
2025-11,COBC OI Primary to Part D,8403951.48,39
