ym,n,recovered
2020-01,338,4955278.375454545
2020-02,369,6821682.500909091
2020-03,549,7025774.739090909
2020-04,304,6508358.640909091
2020-05,339,7348773.67
2020-06,419,6025537.247272727
2020-07,338,5449303.34
2020-08,497,7829309.9237
2020-09,367,4474874.288181818
2020-10,484,8291331.76
2020-11,448,4931188.701818182
2020-12,358,6967624.894545454
2021-01,340,7534102.188181818
2021-02,418,7029042.5454009
2021-03,569,9592627.897272727
2021-04,417,7398529.928181818
2021-05,413,10953339.235454544
2021-06,479,7745568.846362
2021-07,344,10374503.060909
2021-08,387,9952299.6390936
2021-09,434,10364948.370908
2021-10,382,13892862.515454546
2021-11,673,9813969.378181819
2021-12,335,11357578.886363637
2022-01,411,9676829.375454545
2022-02,383,10120938.629090909
2022-03,600,11067095.750909092
2022-04,384,12599595.64
2022-05,316,6675547.960000003
2022-06,289,14629919.306363637
2022-07,321,13333986.89
2022-08,452,9818020.92090909
2022-09,353,9248110.633636365
2022-10,448,12774421.164545454
2022-11,414,10320059.50909091
2022-12,427,12071747.886363637
2023-01,426,10882534.683636364
2023-02,513,10919874.235454544
2023-03,552,11107857.077272726
2023-04,377,12418865.106363636
2023-05,525,13870382.050000003
2023-06,451,12000713.049090909
2023-07,596,14823271.087272728
2023-08,589,15253385.551772725
2023-09,555,15256214.452727273
2023-10,629,12098203.75
2023-11,588,16115659.350909092
2023-12,681,16437279.273636363
2024-01,789,13452726.559090909
2024-02,659,13996259.457272729
2024-03,680,12107585.31
2024-04,655,13767210.986363636
2024-05,665,16792531.60272727
2024-06,663,15948048.071818182
2024-07,1011,17083926.654545452
2024-08,904,14748338.686363637
2024-09,1210,14116468.255454546
2024-10,871,14366664.387272727
2024-11,829,12726804.927272728
2024-12,988,15283033.88
2025-01,597,11827874.25
2025-02,833,14974088.823636364
2025-03,990,18054462.034545455
2025-04,682,24609024.432727274
2025-05,990,22506231.8
2025-06,897,18368411.348181818
2025-07,836,23334596.342727274
2025-08,709,18039988.59090909
2025-09,736,20064360.543636363
2025-10,926,22148023.45818182
2025-11,874,21570217.605454545
2025-12,970,29181324.036363635
2026-01,1002,13572929.636363635
2026-02,845,17345012.14636364
2026-03,995,23584003.176363636
2026-04,729,22614690.018181816
2026-05,688,20619768.908181816
2026-06,722,29150955.015454546
2026-07,833,26434479.214545455
2026-08,742,27802444.48818182
2026-09,82,1157686.88
