clientName,InvestigationType,n,recovered,min_d,max_d
Aetna,Post Term,33785,4269364.77,1681430400,1779753600
Anthem Commercial Expansion,Post Term,33079,2892955.24,1635465600,1779753600
BCBS NC,Post Term,14306,989886.07,1611014400,1779753600
Carefirst Commercial,Post Term,6735,578176.07,1600819200,1775779200
Anthem SE,Post Term,7222,505100.21,1633478400,1779753600
NY State Health Insurance Plan,OI Prime,1472,427123.25,1708473600,1779753600
BCBS GA,Post Term,3668,322389.09,1616716800,1779753600
OSCAR,Post Term,1696,229997.44,1747872000,1779753600
Centene,Post Term,2655,206254.87,1653436800,1769990400
Empire,Post Term,2966,195998.67,1614643200,1779753600
EmblemHealth,Post Term,8723,168263.36,1616371200,1775779200
Aetna,OI Prime,15198,153069.86,1599523200,1779753600
EverNorth,Post Term,1846,136250.75,1748390400,1779753600
Anthem Commercial Expansion,OI Prime,1644,98829.91,1662508800,1779753600
OSCAR,OI Prime,332,36728.44,1727913600,1779753600
Excellus,Post Term,486,15762.13,1761177600,1771372800
Anthem Central,Post Term,204,14473.56,1688947200,1779753600
NY State Health Insurance Plan,Post Term,38,9618.15,1675209600,1710288000
Aetna,Part D Primary to Commercial,1694,8328.54,1619481600,1779753600
Anthem Retro Term Recovery Program,Post Term,446,6761.07,1594166400,1709856000
Aetna,COBC OI Primary to Part D,2304,3374.72,1684800000,1777248000
BCBS GA,OI Prime,125,3334.21,1667779200,1777248000
Empire,OI Prime,70,3097.72,1748822400,1779753600
Anthem NASCO,Post Term,20,2412.73,1613433600,1717027200
Carefirst Commercial,OI Prime,367,1872.48,1670803200,1776211200
Anthem SE,OI Prime,694,1316.71,1665619200,1779753600
NY State Health Insurance Plan,MC Part D Secondary,60,0.0,1697414400,1776816000
Wellpoint Part D,COBC OI Primary to Part D,768,0.0,1693180800,1759449600
Wellpoint Part D,MC Part D Secondary,8,0.0,1693872000,1734652800
BCBS NC State,Post Term,888,0.0,1663545600,1713225600
Centene,Part D Primary to Commercial,22,0.0,1730419200,1743033600
