ym,n,recovered,writeoff
2020-07,11,0.0,0.0
2020-09,30,0.0,0.0
2020-10,16,0.0,0.0
2020-11,48,0.0,0.0
2020-12,48,0.0,0.0
2021-01,23,0.0,2312.03
2021-02,148,0.0,12626.38
2021-03,281,0.0,0.0
2021-04,170,0.0,35066.87
2021-05,178,0.0,54642.23
2021-06,151,0.0,55968.94
2021-07,162,0.0,91092.73
2021-08,282,0.0,35797.99
2021-09,156,0.0,14406.39
2021-10,996,30191.2,30541.55
2021-11,1127,0.0,58722.64
2021-12,254,18434.5,75142.09
2022-01,495,0.0,384737.88
2022-02,423,19469.88,69693.36
2022-03,1489,0.0,82735.7
2022-04,680,-18434.5,307883.59
2022-05,758,0.0,142073.32
2022-06,981,17231.66,341500.59
2022-07,1243,0.0,318790.64
2022-08,1459,0.0,100379.54
2022-09,1341,-17143.7,136392.74
2022-10,1542,417399.35,172047.02
2022-11,1217,0.0,207091.94
2022-12,1304,21827.07,520519.87
2023-01,1495,-21827.07,284669.23
2023-02,1466,2742.28,397013.55
2023-03,2679,3482.4,444901.02
2023-04,3195,8976.87,691161.5
2023-05,3652,-6624.29,309249.17
2023-06,3780,20287.06,1221287.51
2023-07,3699,3479.68,655566.32
2023-08,3363,-19441.64,616678.52
2023-09,1747,0.0,906308.17
2023-10,1976,-417399.35,1056469.96
2023-11,4925,658374.49,532562.61
2023-12,2110,737461.76,429662.13
2024-01,2989,353809.19,454612.81
2024-02,2874,288922.78,330081.98
2024-03,7126,485600.79,1463580.58
2024-04,3386,229555.29,710486.34
2024-05,2922,398636.19,480757.91
2024-06,4013,469695.6,930850.11
2024-07,3339,323868.64,1065163.77
2024-08,4865,476818.43,95507.54
2024-09,2845,314212.47,310778.74
2024-10,4008,145144.95,1833630.85
2024-11,2986,200411.72,152987.15
2024-12,4268,251996.21,202357.95
2025-01,1587,278028.03,26352.75
2025-02,1786,134877.2,66648.38
2025-03,2979,253397.19,344093.71
2025-04,3537,219812.24,513040.53
2025-05,3122,301333.22,139236.94
2025-06,1995,240473.93,65616.87
2025-07,6292,689722.61,-79343.54
2025-08,2030,307157.68,235310.16
2025-09,2458,428439.54,173358.21
2025-10,2703,240635.24,259375.75
2025-11,2011,261750.73,259493.33
2025-12,1703,157961.25,215845.22
2026-01,2333,216672.69,526012.49
2026-02,5501,1047459.48,39273.73
2026-03,1461,247837.48,83870.34
2026-04,2294,594900.3,5594.36
2026-05,1683,263121.3,42754.88
