ym,n,total_recovered,recovered_reporting
2023-04,7,2447.3,2447.3
2023-05,15707,1131741.22,1131755.9
2023-06,27352,1619505.69,1619653.35
2023-07,8857,998768.64,998768.64
2023-08,15508,2407741.85,2407741.85
2023-09,4843,668238.29,668238.29
2023-10,5886,1121996.65,1121998.48
2023-11,3975,1112287.71,1112287.71
2023-12,5422,702584.12,702584.12
2024-01,10785,1323214.96,1323214.96
2024-02,20363,1333635.89,1333635.89
2024-03,12183,785409.89,785500.49
2024-04,10891,1408933.67,1409036.61
2024-05,5184,1786912.47,1786939.14
2024-06,7168,2006592.63,2006592.63
2024-07,7795,2859152.63,2859152.63
2024-08,7791,2241070.29,2241070.29
2024-09,9725,2410938.54,2410938.54
2024-10,8906,2740257.01,2740257.01
2024-11,35799,5266837.23,5266837.23
2024-12,45129,7403947.25,7403948.41
2025-01,31346,5744825.99,5744825.99
2025-02,17962,2632544.07,2632658.48
2025-03,9909,2367561.76,2367561.76
2025-04,18048,3159486.03,3159486.03
2025-05,22457,4308364.99,4308394.37
2025-06,11943,1773204.95,1773204.95
2025-07,7546,2078808.43,2078808.43
2025-08,30030,5481958.71,5482710.16
2025-09,8602,2459098.29,2459098.29
2025-10,6522,2146327.4,2146327.4
2025-11,7937,1676004.1,1676004.1
2025-12,7426,1449641.28,1449641.28
2026-01,10256,1720411.69,1720411.69
2026-02,10415,1986583.04,1986608.04
2026-03,14579,2374721.73,2374721.73
2026-04,21621,3421845.47,3421845.47
2026-05,15554,2375725.81,2375725.81
2026-06,2776,540235.87,540235.87
