ym,Client,recovered,n,t12
2026-08,Wellcare,9194126.97,4,60127122.59
2026-08,Centene,6500323.944545455,8,49013200.734545454
2026-08,Aetna,2371236.377272727,53,38978422.53090909
2026-08,HealthSpring,1536729.48,31,24337744.669999998
2026-08,Evernorth,1377945.136363636,1,7608700.045454545
2026-08,Anthem Commercial Expansion,1323588.14,3,15414217.280000001
2026-08,Wellpoint Part D,1104579.67,7,9110041.6
2026-08,NY State Health Insurance Plan,676339.08,11,2909157.58
2026-08,AHP_RX,509680.61,221,7560788.74
2026-08,OSCAR,417564.74,5,3001364.45
