type,aug,jul,mom,t12
COBC OI Primary to Part D,12856808.16,10506485.85,0.22370203925035512,118003710.72
Converted Compliance Fee,5137361.818181818,6406810.454545454,-0.19814050148198115,50816050.22727273
OI Prime,3626468.87,3459459.67,0.04827609393694715,35661787.6
Medicaid Not Primary,2317918.18,1714028.5,0.35232184295652036,25117534.939999998
Post Term,1567336.21,1638284.03,-0.043306178111252217,18603619.25
RxMedical,1127978.38,1421414.19,-0.20643934193452795,17569078.88
Part D Primary to Commercial,957957.19,1091262.71,-0.1221571293313963,5081000.359999999
Hospice Primary to Part D,138195.22,123491.14,0.11906991870024038,1904208.0499999998
MC Part D Secondary,53239.89,63231.65,-0.15801833417283911,1157959.01
TPL Primary to Part D,15777.47,9410.31,0.6766153293568438,147846.19
ESRD Primary to Part D,2795.23,14.55,191.11202749140892,10604.76
Workers Comp Primary to Part D,607.87,586.16,0.03703766889586468,7325.01
